user_id,isbn,rating
7346,0020198906,4.0
7346,0020868308,5.0
7346,0028604199,4.0
7346,0060096195,4.0
7346,0060987103,4.0
7346,0061020648,5.0
7346,0061099813,4.0
7346,0064471047,5.0
7346,0064472272,3.0
7346,0140254544,4.0
7346,014029628X,4.0
7346,0140386645,4.0
7346,0140430725,5.0
7346,0312201656,4.0
7346,0312203039,4.0
7346,0312265867,3.0
7346,0312924585,5.0
7346,0312966970,4.0
7346,0312976275,4.0
7346,0312980140,4.0
7346,0316096199,4.0
7346,0345297709,4.0
7346,034529873X,4.0
7346,034530456X,3.0
7346,0345316002,4.0
7346,0345318862,4.0
7346,0345327861,4.0
7346,0345341678,4.0
7346,0345348036,4.0
7346,0345360354,4.0
7346,0345361792,5.0
7346,0345370775,4.0
7346,0345380371,5.0
7346,0345384911,3.0
7346,0345391055,4.0
7346,0345445848,3.0
7346,0375726403,4.0
7346,0380001411,4.0
7346,0380423901,5.0
7346,0380603926,4.0
7346,0380704587,4.0
7346,0380710722,4.0
7346,038072152X,3.0
7346,0380725584,5.0
7346,0380725827,4.0
7346,0380728273,4.0
7346,0380752891,3.0
7346,0380759470,3.0
7346,0380759489,3.0
7346,0380759497,3.0
7346,0380778556,5.0
7346,0380778785,3.0
7346,0380780879,4.0
7346,0380798565,5.0
7346,0380820447,4.0
7346,0380977788,5.0
7346,0385315546,4.0
7346,0385335881,4.0
7346,0385479565,4.0
7346,0385730586,4.0
7346,0399145087,4.0
7346,0399147195,4.0
7346,0413537900,4.0
7346,0413588106,4.0
7346,0425147622,4.0
7346,0425154092,4.0
7346,0425177173,4.0
7346,042518403X,3.0
7346,0425187144,4.0
7346,043936213X,5.0
7346,0440221471,5.0
7346,0440224705,4.0
7346,0440225701,5.0
7346,0440234743,5.0
7346,0440236673,4.0
7346,0440241073,4.0
7346,044048474X,4.0
7346,0440940001,5.0
7346,0445402296,4.0
7346,0445406518,5.0
7346,0446353205,4.0
7346,0446359866,4.0
7346,0446365386,4.0
7346,0449003787,4.0
7346,0449212750,4.0
7346,0449219364,4.0
7346,0449219461,4.0
7346,0451141083,4.0
7346,0451184726,4.0
7346,0451188454,4.0
7346,0451202503,4.0
7346,0451457811,5.0
7346,0451519841,4.0
7346,0451521285,4.0
7346,0451526341,4.0
7346,0515087122,4.0
7346,0515090174,4.0
7346,0553205587,5.0
7346,0553210793,4.0
7346,0553211285,4.0
7346,0553213156,4.0
7346,0553213180,5.0
7346,0553239813,3.0
7346,0553284789,3.0
7346,0553287532,4.0
7346,0553291955,5.0
7346,0553560247,4.0
7346,0553575384,5.0
7346,059030271X,5.0
7346,0590353403,5.0
7346,0609804138,4.0
7346,0670892963,4.0
7346,0671001795,4.0
7346,0671250671,4.0
7346,0671617028,4.0
7346,0671701231,4.0
7346,0671726889,4.0
7346,0671797050,3.0
7346,0671867172,5.0
7346,0671880187,4.0
7346,0679732411,5.0
7346,0684822652,4.0
7346,0684872153,4.0
7346,0743227441,5.0
7346,0743411943,4.0
7346,0786868716,4.0
7346,0802139256,4.0
7346,0804106304,5.0
7346,080410753X,4.0
7346,0812510992,3.0
7346,0836210263,4.0
7346,0836221192,3.0
7346,0842314296,4.0
7346,0874869870,4.0
7346,1558531025,5.0
7346,155874262X,4.0
7346,1558743316,4.0
7346,1559029838,4.0
11676,0060987103,5.0
11676,0061099813,4.0
11676,0064472272,5.0
11676,0140254544,4.0
11676,014029628X,4.0
11676,0312203039,4.0
11676,0312265867,4.0
11676,0312966970,4.0
11676,0312976275,4.0
11676,0316096199,5.0
11676,034529873X,5.0
11676,0345361792,5.0
11676,0345370775,4.0
11676,0345391055,5.0
11676,0345445848,3.0
11676,0375726403,4.0
11676,0380423901,4.0
11676,038072152X,5.0
11676,0380725584,5.0
11676,0380725827,3.0
11676,0385335881,4.0
11676,0385479565,5.0
11676,0399145087,3.0
11676,0413588106,4.0
11676,0425147622,3.0
11676,0425154092,4.0
11676,0425177173,2.0
11676,042518403X,5.0
11676,0425187144,4.0
11676,043936213X,5.0
11676,0440221471,5.0
11676,0440224705,3.0
11676,0440225701,4.0
11676,0440234743,5.0
11676,0440236673,4.0
11676,0440241073,4.0
11676,0440940001,4.0
11676,0446353205,5.0
11676,0446365386,3.0
11676,0449003787,4.0
11676,0449219364,4.0
11676,0451184726,3.0
11676,0451188454,4.0
11676,0451526341,5.0
11676,0553210793,4.0
11676,0553284789,2.0
11676,0553560247,5.0
11676,0590353403,4.0
11676,0609804138,5.0
11676,0670892963,4.0
11676,0671001795,5.0
11676,0671701231,3.0
11676,0671867172,4.0
11676,0684872153,5.0
11676,0786868716,5.0
11676,080410753X,4.0
11676,0836210263,3.0
11676,1558531025,5.0
11676,155874262X,4.0
11676,1559029838,5.0
11676,000649840X,4.0
11676,0006547834,3.0
11676,0006550789,4.0
11676,0007110928,4.0
11676,0007154615,4.0
11676,0020446500,4.0
11676,0020519001,4.0
11676,002542730X,3.0
11676,0060002492,3.0
11676,006000438X,3.0
11676,0060008032,4.0
11676,0060012781,4.0
11676,0060085452,4.0
11676,0060090367,4.0
11676,0060092653,4.0
11676,006016848X,5.0
11676,0060172916,4.0
11676,0060175400,5.0
11676,0060184957,4.0
11676,0060185074,3.0
11676,0060188731,3.0
11676,0060191988,4.0
11676,0060192119,5.0
11676,006019443X,4.0
11676,0060194448,4.0
11676,006019491X,5.0
11676,0060195703,5.0
11676,0060198133,4.0
11676,0060199652,5.0
11676,0060256672,4.0
11676,0060256737,4.0
11676,0060391502,3.0
11676,0060391626,5.0
11676,0060502258,4.0
11676,0060504080,5.0
11676,0060512806,5.0
11676,0060512822,5.0
11676,0060532149,4.0
11676,0060540753,4.0
11676,0060542128,4.0
11676,0060558199,4.0
11676,0060652934,3.0
11676,0060809833,5.0
11676,0060914653,4.0
11676,0060915153,4.0
11676,0060920084,5.0
11676,0060922532,4.0
11676,0060926317,3.0
11676,0060929790,4.0
11676,006092988X,5.0
11676,006093090X,5.0
11676,0060934425,4.0
11676,0060934719,4.0
11676,0060935464,5.0
11676,0060938455,5.0
11676,0060953691,5.0
11676,0060958022,2.0
11676,0060964049,2.0
11676,0060970790,4.0
11676,0060972459,2.0
11676,0060973897,4.0
11676,0060975849,4.0
11676,0060977337,3.0
11676,0060977477,4.0
11676,0060987529,4.0
11676,0060987561,5.0
11676,006098824X,3.0
11676,0060988649,4.0
11676,006099486X,5.0
11676,0061000027,4.0
11676,0061000035,4.0
11676,0061000043,5.0
11676,0061000078,4.0
11676,0061000175,4.0
11676,0061009059,4.0
11676,0061013412,4.0
11676,0061013439,3.0
11676,006101351X,4.0
11676,0061015725,3.0
11676,0061030643,4.0
11676,0061031410,5.0
11676,0061031550,3.0
11676,0061040347,5.0
11676,0061057894,4.0
11676,0061090808,4.0
11676,0061090891,3.0
11676,0061091316,3.0
11676,0061092045,5.0
11676,0061092533,4.0
11676,0061092886,5.0
11676,0061093092,3.0
11676,0061093106,3.0
11676,0061093343,4.0
11676,0061093491,3.0
11676,0061094129,4.0
11676,0061094234,5.0
11676,0061096105,5.0
11676,0061097667,4.0
11676,0061097853,4.0
11676,0061097861,5.0
11676,0061097934,5.0
11676,0061098035,5.0
11676,0061099015,2.0
11676,006109918X,4.0
11676,006109921X,5.0
11676,0061099325,4.0
11676,0061099341,5.0
11676,0061099368,3.0
11676,0061099686,5.0
11676,0061099694,4.0
11676,0061099708,5.0
11676,0062502174,5.0
11676,0062502182,5.0
11676,006251279X,4.0
11676,0064400034,4.0
11676,0064400042,5.0
11676,0064400050,4.0
11676,0064400085,4.0
11676,0064400557,5.0
11676,006440188X,5.0
11676,0064403688,5.0
11676,0064404773,5.0
11676,0064405052,4.0
11676,0064405176,3.0
11676,0064407055,4.0
11676,0064407667,2.0
11676,0064407675,5.0
11676,0064471101,5.0
11676,0064471837,5.0
11676,0066209773,5.0
11676,0066211611,3.0
11676,0066212855,5.0
11676,0066214122,5.0
11676,0066214440,3.0
11676,0070212570,4.0
11676,0099244926,5.0
11676,0099245027,2.0
11676,0099521016,4.0
11676,0099993805,4.0
11676,0140042210,4.0
11676,0140042598,5.0
11676,0140067477,4.0
11676,0140067779,5.0
11676,0140075623,4.0
11676,0140077022,4.0
11676,0140086838,3.0
11676,0140097112,4.0
11676,0140099832,5.0
11676,0140113428,4.0
11676,0140124381,3.0
11676,0140143505,5.0
11676,0140185216,3.0
11676,014023313X,3.0
11676,0140233903,5.0
11676,014023828X,5.0
11676,014025448X,5.0
11676,0140257934,4.0
11676,0140258795,4.0
11676,0140265686,4.0
11676,0140265988,5.0
11676,0140270590,4.0
11676,0140274782,5.0
11676,0140278826,4.0
11676,014027927X,5.0
11676,0140279288,3.0
11676,014028009X,4.0
11676,0140280464,2.0
11676,0140280553,4.0
11676,0140286276,5.0
11676,0140293248,3.0
11676,0140296409,4.0
11676,0140298479,2.0
11676,0140348107,5.0
11676,014034893X,5.0
11676,014038572X,4.0
11676,0140430113,5.0
11676,0140441654,5.0
11676,0140620869,5.0
11676,014100018X,5.0
11676,0141007338,3.0
11676,0141301155,4.0
11676,014131088X,5.0
11676,0142000205,4.0
11676,0142001821,4.0
11676,0142002267,4.0
11676,0142004030,5.0
11676,0142004235,5.0
11676,0142004278,3.0
11676,0151008116,3.0
11676,0156001314,4.0
